Index_ID,Num_Index_ID,ColumnID,Num_ColumnID,Table_ID,Num_Table_ID,Index_Name,Table_Name,Column_Name,Sequence,Sort_Order
84226CCA-38E2-B80A-6E6F-A217CC2B1ADB,275,2A8DE780-DA50-7679-9272-2F59F69CF62F,208,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,GP_RESULTS_DAY_FK,FACT_GRAND_PRIX_RESULTS,RACE_DAY_ID,1,ASC,
0EEF4FA2-A9A0-2FB5-1C12-CD0E5EB33075,276,6173B674-5BE1-1510-C2EF-DD02D44E325B,160,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,GP_RESULTS_DRIVER_FK,FACT_GRAND_PRIX_RESULTS,DRIVER_ID,1,ASC,
2AEF74FB-09B0-2A1A-1804-FFCC79B1B483,277,219F364D-D5A9-FCF3-6B4D-41E4F743FCC8,162,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,GP_RESULTS_TEAM_FK,FACT_GRAND_PRIX_RESULTS,EAM_ID,1,ASC,
C3618736-9207-D0F2-A1EF-D2C977A46155,278,95B0E6DE-BA29-16FA-10E5-473DB368E23C,226,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,GP_RESULTS_TRACK_FK,FACT_GRAND_PRIX_RESULTS,TRACK_ID,1,ASC,
726547C9-A116-2348-0F0C-FD95EC15CB7E,279,3EE399EC-F235-BFD7-2AEE-07CD9A2E272F,135,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,GP_RESULTS_CHASSIS_FK,FACT_GRAND_PRIX_RESULTS,CHASSIS_ID,1,ASC,
DBE79161-ADB8-691E-9F8C-E12BEE68306A,280,D4CA2D07-FD48-0CB6-0EEC-569C71F91D31,164,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,GP_RESULTS_ENGINE_FK,FACT_GRAND_PRIX_RESULTS,ENGINE_ID,1,ASC,
879DB6E1-2EBD-EE89-A9B3-15A17856F07B,281,02F1F7E0-CC9F-EAAA-E2DB-D2D81B3CF691,218,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,GP_RESULTS_SEASON_FK,FACT_GRAND_PRIX_RESULTS,SEASON_ID,1,ASC,
0E6F3D27-CD2D-563D-E312-3DCD6F792D18,282,1725E01C-09B8-50B1-F987-C974721110D5,171,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,GP_RESULTS_GRAND_PRIX_FK,FACT_GRAND_PRIX_RESULTS,GRAND_PRIX_ID,1,ASC,
1ED3443E-46A9-A3C3-13F8-E3F45C63E0A8,283,AB93EA7B-7C3B-D09A-00AA-943CDD733612,144,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,DRIVER_COUNTRY_FK,DIM_DRIVER,COUNTRY_ID,1,ASC,
E6FED96E-168E-18CF-E777-3DE26289B6F7,284,E3CAA2A7-8E9B-EDE1-93C7-6EFB7292A2E2,206,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,GP_RESULTS_RACE_ATTRIBUTES_FK,FACT_GRAND_PRIX_RESULTS,RACE_ATTRIBUTES_ID,1,ASC,
83B5DE81-6E2B-5A7D-3148-123310AA94A7,285,7FDEF80F-C84B-386F-1AD3-6F45BC48B5B1,230,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,GP_RESULTS_TYRES_FK,FACT_GRAND_PRIX_RESULTS,TYRES_ID,1,ASC,
573CC899-DDAA-7941-C4C9-FED93B54518F,286,3C2D368E-F4D3-DE47-4E8D-E1F9F59149D2,202,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,GP_RESULTS_POSITION_ATTRIBUTES_FK,FACT_GRAND_PRIX_RESULTS,POSITION_ATTRIBUTES_ID,1,ASC,
A65E3202-B538-FC6C-2F51-9D5BD9F9D2C8,287,B1324AF6-1A57-F82E-6E83-A5883DB0E1C2,153,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,DRIVER_DAY_FKv2,DIM_DRIVER,DEATH_DAY_ID,1,ASC,
73196C3B-4C45-25E2-E186-424D95B67022,288,B079C813-9903-3CFE-BD5E-EEC0F45B2B65,146,726CE839-6848-A7D0-8E54-2C6362C72643,125,TRACK_COUNTRY_FK,DIM_TRACK,COUNTRY_ID,1,ASC,
DDB22A73-1848-1CEF-0A52-1A3BA712CC91,289,9AE047B3-70AA-374F-57B8-294943D40921,145,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,TEAM_COUNTRY_FK,DIM_TEAM,COUNTRY_ID,1,ASC,
