ObjectID,NumOID,Type,Sequence,Text
4DE2F937-1CDD-7B22-691D-565447B6C8E9,213,Column,1,"SCD_ACTIVE",
07B401CC-14DF-A88F-43AA-41A332246723,214,Column,1,"SCD_END",
D78ECF8C-0A82-6E86-A8EF-68F16D24FFE4,215,Column,1,"SCD_START",
AB0F63F4-D65B-DF8A-7A08-CD2FE68AE3C7,216,Column,1,"SCD_VERSION",
19AAAA45-BC25-E1B3-95A0-E33257E83F93,217,Column,1,"SCHEMA - схема трассы",
02F1F7E0-CC9F-EAAA-E2DB-D2D81B3CF691,218,Column,1,"SEASON_ID - сезон проведения гран при",
30DAF45A-9714-6442-E4B7-DF067D4AC227,219,Column,1,"SEASON_ID - суррогатный ключ",
4CD30D81-FFEA-165D-5E4B-C5722FABA6C2,220,Column,1,"SEASON_NAME - время года",
1AC620DA-4D11-2169-ADEA-3C77334ADE48,221,Column,1,"SHORT_NAME - короткое название страны. Источник: http://base.consultant.ru/cons/cgi/online.cgi?req=doc;base=LAW;n=94405;fld=134;dst=4294967295.",
36EE8DAD-1F8B-F627-992C-9B909E057CB9,222,Column,1,"START_POSITION - стартовая позиция гонщика",
5F8C289F-EC07-0F22-9A46-21F747C76975,223,Column,1,"TEAM_ID - суррогатный ключ",
C06806C3-FC41-C06C-30BF-C5A1D0841CD0,224,Column,1,"TITLE_SPONSOR - титульный спонсор гран при",
E6D8D174-59A0-10E1-FD92-5CD3FF6260C6,225,Column,1,"TITLE_SPONSOR - титульный спонсор команды",
95B0E6DE-BA29-16FA-10E5-473DB368E23C,226,Column,1,"TRACK_ID - трасса, где проходит гран при",
0822BEC0-E7B5-68EC-2AAD-2BF730A869C1,227,Column,1,"TRACK_ID - суррогатный ключ",
358127CF-97B6-44CF-FC5B-258A03E16D8C,228,Column,1,"TREAD - тип протектора",
203B4880-6C52-C703-80D8-3A24EC8838BA,229,Column,1,"TURNS - количество поворотов",
7FDEF80F-C84B-386F-1AD3-6F45BC48B5B1,230,Column,1,"TYRES_ID - шины гоночного автомобиля",
64069F0F-1E54-A728-74E7-55CE427FAF05,231,Column,1,"TYRES_ID - суррогатный ключ",
E8D49F84-CE54-1676-FEA2-455434865690,232,Column,1,"CONTINENT_NAME - континент на котором расположена страна (классификатор M49 ООН). Источник: http://unstats.un.org/unsd/methods/m49/m49regin.htm.",
A41397F3-BF57-FFD7-1C02-AC54573C3539,233,Column,1,"REGION_NAME - регион в котором расположена страна (классификатор M49 ООН). Источник: http://unstats.un.org/unsd/methods/m49/m49regin.htm.",
98A48E87-BC88-B40F-87B2-BDC5F75A0C2E,234,Column,1,"WEEKEND_INDICATOR - признак выходного дня",
6646E064-6AE7-00EB-59A7-21E503915574,235,Column,1,"WEEK_IN_MONTH_NUMBER - неделя в месяце",
4DB109AA-E6A6-C9E5-9A9A-1759A9ADFA7C,236,Column,1,"WEEK_IN_YEAR_NUMBER - неделя в году",
CDD59428-D720-B1D8-FD4A-BCE104B3F5B9,237,Column,1,"YEAR_END - год (сезон) окончания существования гран при в текущей конфигурации",
958113FD-A6DA-4913-32D4-D37F3C6B3E94,238,Column,1,"YEAR_END - по какой год(сезон) действует система начисления очков",
D62D8582-C80E-1F9F-4BB1-BD1DFE2BA851,239,Column,1,"YEAR_END - по какой год(сезон) команда выступает в данной конфигурации",
9A116B69-A027-2C04-949C-8D167E6A757A,240,Column,1,"YEAR_END - по какой год(сезон) трасса в данной конфигурации",
8BBA0641-FBBF-9D52-7EA4-05D2748331C6,241,Column,1,"YEAR_AND_HALF - год и половина года в формате ''YYYY-H''",
C24CF2A4-D613-EFA4-36D8-04905C5DF364,242,Column,1,"YEAR_MONTH_NAME - год и месяц в формате ''YYYY-MM''",
EF1DE5A5-B776-E240-6B8B-E7EB44FC35D9,243,Column,1,"YEAR_NUMBER - номер года",
1692751E-92B4-6EFF-28C4-F3B3BF3D20F2,244,Column,1,"YEAR_QUARTER_NAME - год и квартал в формате ''YYYY-Q''",
FB055101-9D59-E9A7-8144-60ADF5F3A98A,245,Column,1,"YEAR_START - год (сезон) начала существования гран при в текущей конфигурации",
5C5628EC-C83F-A5B2-ECEA-8DB0B8BCD936,246,Column,1,"YEAR_START - с какого года (сезона) действует система начисления очков",
5D3EA488-98EB-9677-D1A6-19681FFF1360,247,Column,1,"YEAR_START - с какого года (сезона) команда выступает в данной конфигурации",
8865BBBE-6F69-C896-A433-DB600380E8FA,248,Column,1,"YEAR_START - с какого года (сезона) трасса в данной конфигурации",
