Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
DAY_IN_YEAR_NUMBER,70D140A1-EF0C-4398-DFB4-4807B5DBCF6D,151,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,N,Small number,SMALLINT,,,,N,Y,DIM_DAY,,,SMALLINT,9,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
DAY_OF_WEEK_NAME,823A6581-2AB1-7BA4-C911-39F11B190595,152,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,BE9B540E-A6CF-85F4-7978-797BDD30B28D,34,LOGDT024,109,,,,,,,,,N,Short name,VARCHAR,,,,N,Y,DIM_DAY,,,VARCHAR,3,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,16,,,
DEATH_DAY_ID,B1324AF6-1A57-F82E-6E83-A5883DB0E1C2,153,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,N,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_DRIVER,,F,INTEGER,9,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
DEATH_PLACE,B0523772-C83F-42B0-04F3-7C6C5EC233C2,154,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,N,Domain,,N,,,,DOM3000005,39,LOGDT024,109,,,,,,,,,Y,Text,VARCHAR,,,,N,Y,DIM_DRIVER,,,VARCHAR,6,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
DECADE,D6EF5273-B602-E3AC-66FF-73463B161D53,155,,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,Y,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_SEASON,,,VARCHAR,4,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
DEVELOP_DATE,BBA6336A-C333-E0B5-42F7-2D461F30DB23,156,,DDAA11B5-3E55-1F63-63D7-301E36B9FD5F,115,N,Domain,,N,,,,DOM3000001,11,LOGDT007,66,,,,,,,,,Y,Date,Date,,,,N,Y,DIM_CHASSIS,,,DATE,4,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
DEVELOP_DATE,2E2A8D3D-8A57-C270-7224-373323B1C4BE,157,,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,Y,Domain,,N,,,,DOM3000001,11,LOGDT007,66,,,,,,,,,Y,Date,Date,,,,N,Y,DIM_ENGINE,,,DATE,4,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
DISPLACEMENT,2CC892AD-F6FC-B982-34DA-E1D569747197,158,,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,Y,Domain,,N,,,,DOM10006,28,LOGDT019,81,,,,,,,,,Y,Numeric,NUMERIC,,,,N,Y,DIM_ENGINE,,,NUMERIC,5,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
DRIVER_ID,90829735-9621-A18C-D84D-BEFF06F0025E,159,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_DRIVER,P,,INTEGER,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
DRIVER_ID,6173B674-5BE1-1510-C2EF-DD02D44E325B,160,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,F,INTEGER,11,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
